n,B,U,L,C,D,D-C
1000,76,359,5,5373,8747,3374
1000,22,380,6,6944,8361,1417
1000,22,358,5,7220,7608,388
1000,35,361,5,8476,9941,1465
1000,24,342,5,7484,10850,3366
1000,56,370,6,8648,9793,1145
1000,28,385,5,6468,9964,3496
1000,8,379,5,5710,12126,6416
1000,20,393,6,6521,8115,1594
1000,12,366,5,7667,11466,3799
1000,65,375,5,6455,7360,905
1000,26,354,5,5540,8814,3274
1000,32,367,6,7434,9086,1652
1000,21,356,5,6004,8692,2688
1000,38,378,6,7267,9072,1805
1000,70,354,6,8011,8470,459
1000,36,354,6,8961,9966,1005
1000,77,381,6,6545,8316,1771
1000,13,356,5,5074,9594,4520
1000,67,364,7,11724,12771,1047
1000,21,370,5,6441,9532,3091
1000,24,379,7,11538,12720,1182
1000,20,374,5,7495,9417,1922
1000,9,367,6,7037,8033,996
1000,52,361,5,6710,12485,5775
1000,26,371,5,6813,8466,1653
1000,55,362,6,7624,9128,1504
1000,23,368,5,6774,10557,3783
1000,63,366,5,6861,8326,1465
1000,35,401,6,6258,8986,2728
1000,38,375,5,9073,10992,1919
1000,71,384,6,6754,10878,4124
1000,44,365,6,6717,7540,823
1000,15,367,6,7892,9874,1982
1000,52,363,5,8976,11288,2312
1000,31,382,9,6619,9156,2537
1000,52,380,5,7058,9796,2738
1000,42,362,6,6553,8306,1753
1000,84,381,6,8578,9353,775
1000,30,351,4,8013,9097,1084
1000,36,357,5,8515,10188,1673
1000,17,386,5,8712,9786,1074
1000,40,369,5,8132,10087,1955
1000,38,371,5,12940,13545,605
1000,15,375,6,7197,8768,1571
1000,47,370,5,6157,8337,2180
1000,31,377,5,8259,12001,3742
1000,65,372,5,8151,9799,1648
1000,50,365,6,7070,9093,2023
1000,48,363,6,8672,11417,2745
2000,39,724,5,15784,20863,5079
2000,71,737,7,14860,20425,5565
2000,44,740,5,15051,19203,4152
2000,31,731,7,12709,18761,6052
2000,70,741,5,16357,20678,4321
2000,80,741,6,13633,17436,3803
2000,22,743,6,11628,19158,7530
2000,44,722,5,16226,18080,1854
2000,106,716,6,22801,23655,854
2000,44,732,6,15166,20114,4948
2000,92,731,5,18344,23902,5558
2000,51,749,6,18563,20331,1768
2000,14,736,6,16431,24884,8453
2000,50,726,6,19558,25244,5686
2000,38,742,6,14523,21879,7356
2000,90,718,7,16077,24380,8303
2000,57,759,7,15966,24324,8358
2000,53,742,5,18873,19596,723
2000,60,748,5,20207,22268,2061
2000,125,747,6,18153,23709,5556
2000,35,740,6,13794,28969,15175
2000,16,717,6,18049,19988,1939
2000,66,755,7,18559,24864,6305
2000,28,765,6,16727,22914,6187
2000,29,723,6,14521,26381,11860
2000,29,739,6,13795,23184,9389
2000,32,747,5,16587,19986,3399
2000,76,729,5,17476,18725,1249
2000,38,737,6,18763,19122,359
2000,27,752,6,25969,27779,1810
2000,66,733,5,14607,19237,4630
2000,31,752,5,13402,26387,12985
2000,3,749,6,14208,18521,4313
2000,65,711,5,13646,22173,8527
2000,90,766,6,15806,18598,2792
2000,55,727,6,15153,17888,2735
2000,105,735,6,17160,20861,3701
2000,51,712,5,16311,17209,898
2000,80,732,6,14449,20973,6524
2000,71,687,5,23035,25647,2612
2000,95,743,6,14095,18771,4676
2000,32,745,5,13490,22929,9439
2000,30,738,6,15957,22807,6850
2000,94,740,6,18984,20759,1775
2000,99,766,6,13425,21599,8174
2000,54,717,6,12530,19833,7303
2000,76,724,7,16659,20204,3545
2000,15,750,6,17345,19732,2387
2000,22,728,6,14585,18960,4375
2000,52,728,6,14669,18173,3504
3000,17,1115,5,27132,31385,4253
3000,77,1113,6,23734,30494,6760
3000,48,1097,7,26171,34717,8546
3000,68,1091,6,26514,30075,3561
3000,111,1117,5,23314,26375,3061
3000,12,1105,6,23058,39718,16660
3000,46,1061,6,32434,39253,6819
3000,65,1110,6,21628,30702,9074
3000,117,1105,7,26199,38608,12409
3000,60,1085,5,22873,24743,1870
3000,101,1067,6,21450,31235,9785
3000,88,1103,6,28204,36017,7813
3000,128,1100,6,40311,42184,1873
3000,40,1100,6,21642,34615,12973
3000,92,1106,6,21891,31697,9806
3000,72,1084,6,24565,30661,6096
3000,101,1100,6,32508,33912,1404
3000,154,1108,6,26459,29604,3145
3000,136,1098,7,27264,31357,4093
3000,88,1086,6,26812,35216,8404
3000,43,1119,6,34133,39280,5147
3000,91,1097,7,28004,31164,3160
3000,66,1079,6,24518,35269,10751
3000,98,1110,6,23653,28827,5174
