n,algorithm,comparisons,swaps
100,quick_sort,628,384
100,select_dual_pivot_quick_sort,402,350
100,dual_pivot_quick_sort,426,311
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,quick_sort,628,384
100,select_dual_pivot_quick_sort,402,350
100,select_quick_sort,426,311
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,quick_sort,628,384
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,select_quick_sort,426,311
100,quick_sort,628,384
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,dual_pivot_quick_sort,426,311
100,select_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,dual_pivot_quick_sort,426,311
100,select_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
100,select_quick_sort,426,311
100,dual_pivot_quick_sort,426,311
100,select_dual_pivot_quick_sort,402,350
100,quick_sort,628,384
