n,max_comparisons,max_pointer_reads_and_substitutions,max_height,avg_comparisons,avg_pointer_reads_and_substitutions,avg_height
10000,29918,29920,9999,8752.59,3753.59,9999
20000,59825,59827,19999,17496.7,7497.67,19999
30000,89930,89932,29999,26222.9,11223.9,29999
40000,119792,119794,39999,34991.5,14992.5,39999
50000,149804,149806,49999,43752.8,18753.8,49999
60000,179897,179899,59999,52492.1,22493.1,59999
70000,209789,209791,69999,61249.8,26250.8,69999
80000,239429,239431,79999,69984.3,29985.3,79999
90000,269861,269863,89999,78745.1,33746.1,89999
100000,299522,299524,99999,87502.6,37503.6,99999
