k,algorithm,time,maxflow,paths
1,dinic,0,1,1
1,edmonds-karp,0,1,1
2,dinic,0,3,2
2,edmonds-karp,0,3,2
3,dinic,0,9,5
3,edmonds-karp,0,10,5
4,dinic,0,28,13
4,edmonds-karp,0,30,11
5,dinic,0,55,16
5,edmonds-karp,0,55,19
6,dinic,0,110,38
6,edmonds-karp,0,116,37
7,dinic,0,513,112
7,edmonds-karp,1,513,114
8,dinic,0,1141,194
8,edmonds-karp,4,1141,186
9,dinic,0,2088,287
9,edmonds-karp,15,2088,276
10,dinic,1,2907,273
10,edmonds-karp,32,2907,275
11,dinic,2,7363,520
11,edmonds-karp,156,7363,530
12,dinic,4,23873,1215
12,edmonds-karp,750,23873,1200
13,dinic,9,48990,1887
13,edmonds-karp,2511,48990,1908
14,dinic,29,101044,2638
14,edmonds-karp,8242,101044,2607
15,dinic,55,210663,4050
15,edmonds-karp,28101,210663,4130
16,dinic,109,547388,7167
16,edmonds-karp,129327,547388,7198
