n,blad
0,1.9010469435800585
1,1.753499116243109
2,0.9908448135457593
3,0.5062989976090435
4,0.253457784514981
5,0.1265007927090087
6,0.0631552816187897
7,0.03154911368255764
8,0.015766832591977753
9,0.007881411252170345
10,0.0039401951225235265
11,0.001969968780300313
12,0.0009849520504721099
13,0.0004924679222275685
14,0.0002462319323930373
15,0.00012311545724141837
16,6.155759983439424e-5
17,3.077877117529937e-5
18,1.5389378673624776e-5
19,7.694675146829866e-6
20,3.8473233834324105e-6
21,1.9235601902423127e-6
22,9.612711400208696e-7
23,4.807086915192826e-7
24,2.394961446938737e-7
25,1.1656156484463054e-7
26,5.6956920069239914e-8
27,3.460517827846843e-8
28,4.802855890773117e-9
29,5.480178888461751e-8
30,1.1440643366000813e-7
31,1.1440643366000813e-7
32,3.5282501276157063e-7
33,8.296621709646956e-7
34,8.296621709646956e-7
35,2.7370108037771956e-6
36,1.0776864618478044e-6
37,1.4181102600652196e-5
38,1.0776864618478044e-6
39,5.9957469788152196e-5
40,0.0001209926260381522
41,1.0776864618478044e-6
42,0.0002430629385381522
43,0.0007313441885381522
44,0.0002452183114618478
45,0.003661031688538152
46,0.007567281688538152
47,0.007567281688538152
48,0.023192281688538152
49,0.008057718311461848
50,0.11694228168853815
51,0.11694228168853815
52,0.6169422816885382
53,0.11694228168853815
54,0.11694228168853815
