n,c,error_inverse,error_gauss
5,1.0,1.7901808365247238e-16,1.85775845048325e-16
5,1.0,1.9229626863835638e-16,9.930136612989092e-17
5,1.0,1.3136335981433191e-16,1.4043333874306804e-16
5,1.0,9.930136612989092e-17,2.0471501066083611e-16
5,1.0,2.2752801345137457e-16,2.3288234633381846e-16
5,1.0,1.719950113979703e-16,1.1102230246251565e-16
5,1.0,1.9229626863835638e-16,2.0471501066083611e-16
5,1.0,1.2161883888976234e-16,1.4043333874306804e-16
5,1.0,1.3136335981433191e-16,1.4043333874306804e-16
5,1.0,9.930136612989092e-17,1.719950113979703e-16
5,1.0,3.020133145511626e-16,2.6272671962866383e-16
5,1.0,1.85775845048325e-16,1.5700924586837752e-16
5,1.0,2.0471501066083611e-16,4.965068306494546e-17
5,1.0,1.7901808365247238e-16,2.381163109968744e-16
5,1.0,4.965068306494546e-17,4.965068306494546e-17
5,1.0,1.4043333874306804e-16,1.2161883888976234e-16
5,1.0,2.432376777795247e-16,9.930136612989092e-17
5,1.0,1.5700924586837752e-16,4.965068306494546e-17
5,1.0,2.6272671962866383e-16,1.4895204919483638e-16
5,1.0,8.599750569898515e-17,1.7901808365247238e-16
5,1.0,1.1102230246251565e-16,2.2752801345137457e-16
5,1.0,1.7901808365247238e-16,1.4043333874306804e-16
5,1.0,1.4895204919483638e-16,1.4043333874306804e-16
5,1.0,1.5700924586837752e-16,1.1102230246251565e-16
5,1.0,1.2161883888976234e-16,1.719950113979703e-16
5,1.0,1.7901808365247238e-16,2.220446049250313e-16
5,1.0,4.965068306494546e-17,1.3136335981433191e-16
5,1.0,1.7901808365247238e-16,3.1401849173675503e-16
5,1.0,1.719950113979703e-16,1.6467268631127712e-16
5,1.0,1.7901808365247238e-16,1.2161883888976234e-16
5,1.0,1.4895204919483638e-16,1.5700924586837752e-16
5,1.0,2.0471501066083611e-16,9.930136612989092e-17
5,1.0,2.1065000811460203e-16,1.4043333874306804e-16
5,1.0,1.4895204919483638e-16,1.4895204919483638e-16
5,1.0,1.2161883888976234e-16,0.0
5,1.0,2.0471501066083611e-16,2.2752801345137457e-16
5,1.0,1.4043333874306804e-16,1.7901808365247238e-16
5,1.0,4.965068306494546e-17,9.930136612989092e-17
5,1.0,9.930136612989092e-17,1.4895204919483638e-16
5,1.0,1.9860273225978183e-16,1.4043333874306804e-16
5,1.0,2.8522145930998397e-16,4.965068306494546e-17
5,1.0,1.719950113979703e-16,2.482534153247273e-16
5,1.0,1.719950113979703e-16,2.2752801345137457e-16
5,1.0,1.719950113979703e-16,1.719950113979703e-16
5,1.0,1.7901808365247238e-16,4.965068306494546e-17
5,1.0,1.4895204919483638e-16,2.0471501066083611e-16
5,1.0,2.220446049250313e-16,1.4895204919483638e-16
5,1.0,4.124295487574583e-16,1.719950113979703e-16
5,1.0,2.220446049250313e-16,1.1102230246251565e-16
5,1.0,1.9860273225978183e-16,1.4895204919483638e-16
5,1.0,1.4895204919483638e-16,1.719950113979703e-16
5,1.0,1.5700924586837752e-16,1.2161883888976234e-16
5,1.0,9.930136612989092e-17,1.4895204919483638e-16
5,1.0,2.808666774861361e-16,2.6272671962866383e-16
5,1.0,4.965068306494546e-17,1.7901808365247238e-16
5,1.0,2.3288234633381846e-16,1.9229626863835638e-16
5,1.0,1.9860273225978183e-16,1.9229626863835638e-16
5,1.0,1.6467268631127712e-16,1.4043333874306804e-16
5,1.0,1.5700924586837752e-16,2.2752801345137457e-16
