n,no_fixed_points_percentage,one_fixed_point_percentage,cycles
5,0.3633,0.3735,2.2879
10,0.3748,0.3642,2.913
15,0.3651,0.3693,3.3319
20,0.3661,0.3676,3.596
25,0.3631,0.3717,3.8114
30,0.3672,0.3639,4.0013
35,0.3584,0.3797,4.1729
40,0.3685,0.3766,4.2878
45,0.3635,0.3687,4.3951
50,0.3705,0.3613,4.5142
55,0.3631,0.3704,4.5861
60,0.3786,0.3664,4.6619
65,0.363,0.3718,4.7637
70,0.3687,0.3662,4.8111
75,0.3747,0.3702,4.8743
80,0.373,0.3668,4.9428
85,0.3621,0.371,5.035
90,0.3643,0.3662,5.0728
95,0.3663,0.3686,5.1506
100,0.3574,0.38,5.176
105,0.3715,0.363,5.2356
110,0.3646,0.3718,5.3289
115,0.3754,0.3647,5.328
120,0.3693,0.3647,5.402
125,0.3665,0.3656,5.4223
130,0.3682,0.358,5.4609
135,0.3696,0.3683,5.4785
140,0.3741,0.3619,5.5443
145,0.3691,0.3683,5.543
150,0.3647,0.3661,5.5849
155,0.368,0.3759,5.6041
160,0.3677,0.3645,5.6809
165,0.3596,0.3698,5.7086
170,0.3574,0.3711,5.7635
175,0.3662,0.3667,5.7515
180,0.363,0.37,5.7817
185,0.3697,0.3695,5.7955
190,0.3701,0.3703,5.7884
195,0.3688,0.3751,5.8542
200,0.3664,0.3673,5.8745
205,0.3674,0.3721,5.8927
210,0.3673,0.3709,5.9026
215,0.3659,0.37,5.9584
220,0.3631,0.3704,5.9474
225,0.3707,0.3631,5.9918
230,0.3701,0.3701,6.028
235,0.3668,0.3657,6.0448
240,0.364,0.3754,6.0194
245,0.3595,0.3734,6.0851
250,0.3611,0.3764,6.1244
255,0.3764,0.3584,6.119
260,0.3646,0.3626,6.1473
265,0.3656,0.3621,6.1556
270,0.3767,0.3597,6.1555
275,0.3667,0.3724,6.1623
280,0.3656,0.3659,6.2167
285,0.3637,0.3712,6.2633
290,0.3652,0.3672,6.2762
295,0.3607,0.3676,6.2694
300,0.3579,0.3695,6.3319
305,0.372,0.3635,6.3204
310,0.3664,0.3706,6.3128
315,0.365,0.3697,6.3719
320,0.3634,0.3688,6.319
325,0.3581,0.3738,6.4171
330,0.3666,0.3695,6.3974
335,0.3671,0.3648,6.4095
340,0.3736,0.3688,6.352
345,0.361,0.3694,6.4225
350,0.3646,0.3739,6.4376
355,0.3574,0.3754,6.4311
360,0.3691,0.3665,6.4459
365,0.3728,0.364,6.4596
370,0.3743,0.3619,6.4854
375,0.3658,0.3675,6.5048
380,0.3729,0.3608,6.5374
385,0.3658,0.3726,6.5071
390,0.3723,0.3674,6.567
395,0.3648,0.3632,6.5384
400,0.372,0.3586,6.5702
405,0.3642,0.3689,6.5611
410,0.3688,0.3678,6.5735
415,0.356,0.3801,6.6486
420,0.3759,0.3619,6.5887
425,0.3681,0.3724,6.5937
430,0.3653,0.372,6.657
435,0.3749,0.3721,6.6751
440,0.3687,0.3738,6.6462
445,0.3563,0.3717,6.7179
450,0.3647,0.365,6.7031
455,0.3587,0.3732,6.7034
460,0.3765,0.3559,6.7128
465,0.3756,0.3623,6.7204
470,0.3656,0.3628,6.753
475,0.3634,0.3784,6.734
480,0.3698,0.362,6.7191
485,0.3738,0.3681,6.744
490,0.3687,0.3611,6.7823
495,0.3674,0.3725,6.758
500,0.3696,0.37,6.7612
505,0.3623,0.3756,6.7949
510,0.3666,0.368,6.8351
515,0.3677,0.3666,6.8403
520,0.3609,0.3699,6.8383
525,0.3665,0.3686,6.8405
530,0.3695,0.3677,6.8518
535,0.3708,0.37,6.8417
540,0.3696,0.3652,6.8681
545,0.3679,0.3645,6.86
550,0.3701,0.366,6.8706
555,0.3633,0.3696,6.8878
560,0.3602,0.3771,6.9194
565,0.3646,0.3693,6.9134
570,0.3648,0.3663,6.9601
575,0.3614,0.3692,6.9178
580,0.3636,0.3753,6.947
585,0.3739,0.3652,6.9273
590,0.3692,0.3624,6.936
595,0.3649,0.364,6.9922
600,0.3668,0.3725,6.9517
605,0.3634,0.3716,7.0258
610,0.3639,0.3636,6.9953
615,0.3738,0.3601,6.9831
620,0.3712,0.3695,7.0007
625,0.3719,0.3665,7.0361
630,0.3693,0.3656,7.0269
635,0.3729,0.3568,7.0279
640,0.3649,0.3692,7.0755
645,0.3761,0.3574,7.018
650,0.3683,0.365,7.0485
655,0.3687,0.3692,7.0749
660,0.3645,0.3675,7.0768
665,0.3708,0.3643,7.1022
670,0.3762,0.3554,7.0921
675,0.3667,0.3734,7.0858
680,0.3715,0.3659,7.1052
685,0.3725,0.3568,7.1215
690,0.3625,0.3733,7.1336
695,0.3706,0.3684,7.1222
700,0.3745,0.3633,7.0758
705,0.3572,0.3745,7.1782
710,0.3676,0.3783,7.1419
715,0.3688,0.3668,7.1858
720,0.3675,0.3725,7.1524
725,0.3688,0.3716,7.1635
730,0.3802,0.3602,7.1395
735,0.3703,0.3581,7.2142
740,0.3653,0.3643,7.1905
745,0.3725,0.3709,7.1695
750,0.3689,0.3646,7.2442
755,0.3707,0.3702,7.18
760,0.3697,0.3594,7.2468
765,0.3613,0.3788,7.231
770,0.3582,0.3784,7.2245
775,0.3686,0.3681,7.2493
780,0.3618,0.37,7.2059
785,0.3678,0.3713,7.2504
790,0.3774,0.3677,7.2032
795,0.3702,0.3624,7.2418
800,0.3605,0.3744,7.2557
805,0.3728,0.3619,7.2231
810,0.3681,0.3692,7.2633
815,0.38,0.36,7.2671
820,0.3674,0.3776,7.274
825,0.374,0.3624,7.2621
830,0.3689,0.3631,7.2792
835,0.3686,0.3656,7.3516
840,0.3706,0.3639,7.3238
845,0.3642,0.3688,7.3221
850,0.3646,0.371,7.3506
855,0.3645,0.3725,7.3415
860,0.3726,0.3622,7.3265
865,0.366,0.3672,7.3269
870,0.3685,0.3723,7.3063
875,0.3634,0.3741,7.3614
880,0.3631,0.3675,7.3518
885,0.3715,0.3635,7.354
890,0.3627,0.3733,7.3533
895,0.3712,0.3649,7.3621
900,0.3639,0.3728,7.3904
905,0.3698,0.365,7.3932
910,0.3694,0.3697,7.3619
915,0.3613,0.3726,7.4287
920,0.369,0.3678,7.4103
925,0.3713,0.3651,7.3968
930,0.3599,0.3723,7.3967
935,0.365,0.3666,7.4096
940,0.3598,0.3769,7.4334
945,0.3731,0.3632,7.4499
950,0.3744,0.3682,7.4455
955,0.3679,0.3679,7.4452
960,0.359,0.3777,7.4098
965,0.3754,0.3635,7.4725
970,0.3612,0.3626,7.5031
975,0.362,0.3751,7.433
980,0.3618,0.3762,7.4545
985,0.3728,0.3638,7.4497
990,0.3743,0.3586,7.5154
995,0.3658,0.3677,7.5016
1000,0.3682,0.3636,7.4987
1005,0.3738,0.3651,7.4888
1010,0.3637,0.3729,7.4937
1015,0.372,0.3592,7.4669
1020,0.3705,0.3686,7.5358
1025,0.3737,0.3623,7.5413
1030,0.361,0.366,7.5226
1035,0.3723,0.3632,7.5052
1040,0.3656,0.3734,7.5186
1045,0.373,0.3674,7.5557
1050,0.3723,0.3566,7.5507
1055,0.3638,0.373,7.5296
1060,0.3663,0.3616,7.5556
1065,0.3626,0.3741,7.5142
1070,0.361,0.3723,7.5454
1075,0.3717,0.3673,7.5556
1080,0.3725,0.3684,7.5889
1085,0.3655,0.3675,7.6215
1090,0.3691,0.366,7.5882
1095,0.3782,0.3596,7.5828
1100,0.3744,0.3682,7.556
1105,0.3622,0.3689,7.5449
1110,0.3668,0.3671,7.5609
1115,0.3679,0.3701,7.6257
1120,0.366,0.3741,7.6175
1125,0.3651,0.3618,7.5995
1130,0.3692,0.3664,7.5816
1135,0.3623,0.3724,7.6239
1140,0.3602,0.3674,7.6348
1145,0.363,0.3769,7.5594
1150,0.3649,0.3695,7.6426
1155,0.3667,0.369,7.6763
1160,0.3628,0.374,7.6252
1165,0.3684,0.3742,7.6492
1170,0.3636,0.3654,7.6574
1175,0.3721,0.3622,7.651
1180,0.3695,0.3641,7.67
1185,0.3632,0.3695,7.6457
1190,0.3711,0.3663,7.6493
1195,0.3654,0.3589,7.6619
1200,0.367,0.3716,7.6907
1205,0.3712,0.3716,7.6446
1210,0.3707,0.3687,7.658
1215,0.3573,0.3708,7.6696
1220,0.3712,0.3606,7.694
1225,0.3606,0.3738,7.7329
1230,0.3643,0.3695,7.6874
1235,0.3664,0.3708,7.688
1240,0.3703,0.3656,7.6985
1245,0.375,0.358,7.6912
1250,0.376,0.3646,7.7116
1255,0.3757,0.3644,7.6803
1260,0.3685,0.3637,7.6924
1265,0.3678,0.3694,7.7493
1270,0.3622,0.3619,7.7501
1275,0.3622,0.3611,7.7824
1280,0.3714,0.3698,7.7026
1285,0.3642,0.3724,7.72
1290,0.3751,0.3662,7.7078
1295,0.362,0.3702,7.7534
1300,0.3778,0.359,7.6964
1305,0.3684,0.3653,7.7641
1310,0.3696,0.3671,7.7242
1315,0.3698,0.3666,7.7815
1320,0.3713,0.3675,7.7699
1325,0.3754,0.3623,7.7511
1330,0.3661,0.3684,7.8015
1335,0.3608,0.3734,7.7754
1340,0.3657,0.3698,7.808
1345,0.3626,0.3724,7.7877
1350,0.3644,0.3723,7.7889
1355,0.3738,0.3593,7.8247
1360,0.3631,0.3707,7.7878
1365,0.3645,0.3652,7.7559
1370,0.3675,0.3655,7.7777
1375,0.3652,0.3734,7.7892
1380,0.3577,0.3731,7.8224
1385,0.376,0.3626,7.8011
1390,0.3686,0.3634,7.7677
1395,0.3672,0.371,7.817
1400,0.3683,0.3646,7.8335
1405,0.3607,0.3693,7.8565
1410,0.378,0.3622,7.8405
1415,0.3777,0.3633,7.8039
1420,0.3707,0.3663,7.8518
1425,0.3685,0.3759,7.8465
1430,0.3663,0.3718,7.8647
1435,0.3697,0.3661,7.8302
1440,0.3572,0.3766,7.8679
1445,0.3695,0.365,7.8469
1450,0.3613,0.37,7.8646
1455,0.3626,0.3701,7.8716
1460,0.3693,0.3684,7.8318
1465,0.3602,0.3709,7.8737
1470,0.3725,0.3674,7.8928
1475,0.3739,0.3649,7.8522
1480,0.3687,0.3668,7.8598
1485,0.3709,0.37,7.8911
1490,0.363,0.3668,7.9178
1495,0.3644,0.3781,7.9038
1500,0.3679,0.3653,7.8818
1505,0.3687,0.3633,7.9004
1510,0.3666,0.3637,7.8823
1515,0.3736,0.3651,7.9176
1520,0.3687,0.3674,7.87
1525,0.3631,0.3753,7.9032
1530,0.3642,0.3656,7.9191
1535,0.3611,0.3642,7.9311
1540,0.3731,0.3622,7.8914
1545,0.3685,0.3706,7.9354
1550,0.3705,0.3694,7.9614
1555,0.3661,0.3726,7.9259
1560,0.3629,0.3673,7.9572
1565,0.3746,0.3616,7.9159
1570,0.3621,0.3691,7.9466
1575,0.3644,0.3724,7.9679
1580,0.3625,0.375,7.9226
1585,0.3631,0.3724,7.9466
1590,0.3686,0.3603,7.9251
1595,0.3682,0.3681,7.9985
1600,0.3636,0.3754,7.9714
1605,0.3635,0.3784,7.9569
1610,0.3691,0.3701,7.9684
1615,0.3664,0.3664,7.9436
1620,0.3578,0.3682,7.9928
1625,0.3747,0.3648,7.9461
1630,0.3594,0.3709,7.9804
1635,0.3682,0.372,7.9881
1640,0.3663,0.3697,7.9684
1645,0.3694,0.3692,7.9805
1650,0.3694,0.367,7.9809
1655,0.3667,0.3653,7.9874
1660,0.3706,0.3646,8.0017
1665,0.372,0.3618,8.0143
1670,0.3636,0.3638,8.0072
1675,0.366,0.3699,8.0006
1680,0.3759,0.3619,7.9702
1685,0.3715,0.3697,7.9919
1690,0.3641,0.3715,8.0309
1695,0.3706,0.3746,8.0016
1700,0.3681,0.3701,8.0231
1705,0.368,0.3672,7.9927
1710,0.3681,0.3739,8.0131
1715,0.3698,0.3695,8.0671
1720,0.3725,0.3632,7.9972
1725,0.3752,0.3697,7.9906
1730,0.3703,0.3702,8.0404
1735,0.3734,0.3644,8.035
1740,0.3713,0.3717,8.0242
1745,0.3676,0.3648,8.0465
1750,0.3691,0.3669,8.016
1755,0.3721,0.365,8.0644
1760,0.3647,0.3761,8.0781
1765,0.3669,0.3621,8.0366
1770,0.3672,0.3764,8.0164
1775,0.3642,0.3726,8.0523
1780,0.3645,0.3686,8.0501
1785,0.3585,0.3692,8.0573
1790,0.3647,0.3664,8.0876
1795,0.3757,0.3654,8.0526
1800,0.364,0.3707,8.0284
1805,0.376,0.3571,8.0598
1810,0.3677,0.3686,8.0971
1815,0.3729,0.3674,8.1044
1820,0.3726,0.3654,8.04
1825,0.3749,0.3666,8.0952
1830,0.372,0.3615,8.056
1835,0.3761,0.3652,8.1369
1840,0.3801,0.36,8.0594
1845,0.3624,0.3772,8.0938
1850,0.376,0.3532,8.148
1855,0.3616,0.3677,8.1353
1860,0.3671,0.3691,8.1064
1865,0.3661,0.3677,8.1476
1870,0.3731,0.3638,8.0938
1875,0.3693,0.3668,8.1282
1880,0.3627,0.3715,8.1464
1885,0.3673,0.3755,8.1104
1890,0.3707,0.3638,8.0896
1895,0.3647,0.3743,8.1222
1900,0.3817,0.3531,8.109
1905,0.3694,0.3653,8.1294
1910,0.3671,0.3681,8.0971
1915,0.3735,0.3613,8.1459
1920,0.3701,0.3663,8.1546
1925,0.371,0.3629,8.1557
1930,0.3714,0.3711,8.1424
1935,0.3714,0.3611,8.1657
1940,0.37,0.3623,8.191
1945,0.3761,0.3709,8.0916
1950,0.3684,0.3722,8.162
1955,0.3717,0.3611,8.1471
1960,0.366,0.3666,8.1101
1965,0.369,0.3719,8.1794
1970,0.3704,0.3725,8.1321
1975,0.3712,0.3618,8.1507
1980,0.3754,0.356,8.1378
1985,0.3723,0.3678,8.1949
1990,0.3673,0.3691,8.1634
1995,0.3667,0.3679,8.1885
2000,0.3699,0.3632,8.1986
2005,0.3638,0.3706,8.1987
2010,0.3739,0.3656,8.2009
2015,0.3633,0.3725,8.1687
2020,0.3711,0.3654,8.1699
2025,0.362,0.3705,8.2168
2030,0.3703,0.3608,8.1783
2035,0.3612,0.371,8.1755
2040,0.3647,0.3624,8.2295
2045,0.3667,0.3664,8.2503
2050,0.3712,0.3668,8.1885
2055,0.3675,0.3641,8.2222
2060,0.3696,0.3761,8.2084
2065,0.3586,0.3743,8.2314
2070,0.3693,0.3659,8.1957
2075,0.3632,0.3674,8.2092
2080,0.3592,0.3735,8.2464
2085,0.3585,0.3817,8.2061
2090,0.3669,0.3668,8.2395
2095,0.3752,0.3664,8.2107
2100,0.3626,0.3674,8.2657
2105,0.3637,0.3702,8.2435
2110,0.3723,0.3652,8.1984
2115,0.3578,0.3714,8.2489
2120,0.369,0.3713,8.2361
2125,0.37,0.3666,8.2237
2130,0.3622,0.3723,8.2535
2135,0.3608,0.3718,8.26
2140,0.37,0.3711,8.2232
2145,0.3673,0.3607,8.2605
2150,0.3735,0.3604,8.2418
2155,0.3765,0.3641,8.2596
2160,0.3644,0.371,8.2562
2165,0.3722,0.3628,8.2549
2170,0.3669,0.3714,8.2419
2175,0.3687,0.3631,8.2706
2180,0.3707,0.3701,8.2748
2185,0.3662,0.3705,8.2718
2190,0.3674,0.3686,8.2762
2195,0.3669,0.3656,8.2822
2200,0.364,0.37,8.3138
2205,0.3622,0.3759,8.2699
2210,0.3629,0.3771,8.304
2215,0.3696,0.3633,8.2888
2220,0.3708,0.3694,8.276
2225,0.3655,0.3735,8.2682
2230,0.3664,0.36,8.2942
2235,0.3661,0.3747,8.2758
2240,0.3714,0.3734,8.266
2245,0.3667,0.3722,8.3026
2250,0.3704,0.3679,8.3481
2255,0.3718,0.3596,8.3623
2260,0.378,0.3647,8.2541
2265,0.3646,0.3654,8.3025
2270,0.3733,0.3628,8.2527
2275,0.3697,0.3689,8.2907
2280,0.3611,0.3733,8.3221
2285,0.3711,0.3618,8.2789
2290,0.3587,0.3735,8.3369
2295,0.3726,0.3606,8.3022
2300,0.3628,0.3742,8.3608
2305,0.3553,0.3809,8.3098
2310,0.3714,0.3677,8.3131
